date,category,amount
2022-07-06,Restuarant,5.5
2022-07-06,Market,2
2022-07-06,Coffe,30.1
2022-07-06,Market,17.33
2022-07-06,Restuarant,5.5
2022-07-06,Market,11.78
2022-07-06,Restuarant,10
2022-07-06,Market,1.38
2022-07-06,Restuarant,10
2022-07-06,Market,2.73
2022-07-06,Market,1.94
2022-07-06,Transport,5
2022-07-06,Restuarant,6
2022-07-06,Market,2.8
2022-07-06,Coffe,6.6
2022-07-06,Coffe,7.6
2022-07-06,Market,3.12
2022-07-07,Market,2.37
2022-07-07,Coffe,6
2022-07-07,Market,12.36
2022-07-08,Market,1.98
2022-07-08,Restuarant,5
2022-07-08,Market,2.04
2022-07-08,Restuarant,12
2022-07-09,Coffe,5.7
2022-07-09,Restuarant,48
2022-07-09,Transport,5
2022-07-10,Transport,21
2022-07-10,Other,20
2022-07-10,Phone,10
2022-07-11,Market,13.62
2022-07-11,Transport,10
2022-07-11,Market,12.76
2022-07-12,Restuarant,10
2022-07-12,Market,8.2
2022-07-12,Communal,150
2022-07-13,Transport,2
2022-07-13,Coffe,6.6
2022-07-13,Market,1.8
2022-07-14,Coffe,7.6
2022-07-15,Transport,6
2022-07-15,Coffe,6.6
2022-07-15,Market,7.44
2022-07-16,Coffe,16
2022-07-16,Transport,2
2022-07-16,Coffe,7.6
2022-07-17,Transport,5
2022-07-17,Coffe,7.6
2022-07-17,Coffe,7.6
2022-07-17,Restuarant,10
2022-07-17,Market,4.5
2022-07-18,Coffe,15.2
2022-07-19,Coffe,15.6
2022-07-19,Coffe,3
2022-07-19,Market,18
2022-07-19,Restuarant,10
2022-07-20,Restuarant,5.5
2022-07-20,Market,4.38
2022-07-20,Restuarant,10
2022-07-20,Coffe,7.6
2022-07-20,Transport,4
2022-07-21,Restuarant,8
2022-07-27,Coffe,7.6
2022-07-27,Market,8
2022-07-28,Clothing,87
2022-07-28,Clothing,135.5
2022-07-28,Clothing,90
2022-07-28,Market,8
2022-07-28,Motel,675
2022-07-28,Travel,733.25
2022-07-28,Rent Car,80
2022-07-28,Rent Car,15
2022-07-28,Communal,9
2022-07-29,Phone,7
2022-07-29,Restuarant,7
2022-07-29,Transport,1
2022-07-29,Travel,260
2022-07-30,Coffe,7.6
2022-07-30,Coffe,28.4
2022-07-30,Restuarant,7.5
2022-07-31,Transport,3
2022-07-31,Coffe,6.5
2022-08-01,Market,4
2022-08-01,Market,2
2022-08-01,Restuarant,5.3
2022-08-01,Restuarant,5
2022-08-01,Other,14
2022-08-02,Restuarant,5.5
2022-08-02,Restuarant,7.2
2022-08-03,Market,1.4
2022-08-03,Market,4.8
2022-08-03,Sport,68.3
2022-08-03,Restuarant,5
2022-08-03,Coffe,7.6
2022-08-04,Market,4.14
2022-08-04,Market,4.25
2022-08-04,Restuarant,5
2022-08-05,Transport,5
2022-08-05,Market,1.4
2022-08-05,Restuarant,9
2022-08-06,Transport,1.6
2022-08-06,Coffe,7.6
2022-08-06,Market,0.42
2022-08-06,Restuarant,7
2022-08-07,Market,0.46
2022-08-07,Restuarant,24
2022-08-08,Market,1.4
2022-08-08,Restuarant,3.5
2022-08-08,Transport,0.5
2022-08-09,Restuarant,4
2022-08-09,Market,1.45
2022-08-09,Market,1.9
2022-08-09,Coffe,6
2022-08-10,Events,12
2022-08-10,Restuarant,5
2022-08-10,Coffe,7.6
2022-08-11,Market,1.4
2022-08-11,Phone,4
2022-08-11,Phone,5
2022-08-11,Restuarant,5
2022-08-11,Coffe,7
2022-08-11,Market,10.8
2022-08-12,Market,1.43
2022-08-12,Market,1.43
2022-08-12,Restuarant,4.5
2022-08-12,Events,13.3
2022-08-12,Learning,220
2022-08-12,Market,8.64
2022-08-13,Transport,6
2022-08-13,Transport,1
2022-08-13,Restuarant,13
2022-08-13,Coffe,6
2022-08-13,Coffe,6
2022-08-13,Learning,2.3
2022-08-13,Transport,5
2022-08-14,Coffe,7.6
2022-08-14,Coffe,7.5
2022-08-14,Coffe,7.6
2022-08-14,Coffe,6.3
2022-08-14,Restuarant,20
2022-08-15,Market,7.45
2022-08-15,Restuarant,10
2022-08-15,Transport,2
2022-08-16,Market,3.1
2022-08-16,Learning,30
2022-08-16,Restuarant,5.5
2022-08-16,Coffe,6.3
2022-08-16,Restuarant,5
2022-08-17,Transport,4
2022-08-17,Transport,1
2022-08-17,Market,2.8
2022-08-17,Restuarant,5.5
2022-08-17,Market,8.48
2022-08-18,Restuarant,13
2022-08-18,Market,6.78
2022-08-19,Market,11.25
2022-08-19,Transport,4
2022-08-19,Phone,12
2022-08-19,Restuarant,10
2022-08-20,Restuarant,37
2022-08-20,Transport,2
2022-08-20,Coffe,7.6
2022-08-21,Coffe,7.6
2022-08-21,Coffe,6.7
2022-08-21,Transport,1.3
2022-08-21,Coffe,13
2022-08-22,Market,6
2022-08-22,Restuarant,5
2022-08-23,Restuarant,5
2022-08-24,Transport,2
2022-08-24,Communal,150
2022-08-24,Restuarant,42.53
2022-08-24,Coffe,7.6
2022-08-24,Market,3.6
2022-08-25,Coffe,11.1
2022-08-25,Coffe,7.6
2022-08-25,Coffe,6.4
2022-08-25,Market,4.78
2022-08-26,Coffe,7.6
2022-08-26,Coffe,6.5
2022-08-26,Coffe,7.6
2022-08-26,Restuarant,9.5
2022-08-26,Transport,2
2022-08-27,Transport,4
2022-08-27,Coffe,9
2022-08-27,Market,0.87
2022-08-27,Coffe,7.6
2022-08-27,Coffe,6.7
2022-08-27,Restuarant,10
2022-08-27,Market,5.7
2022-08-28,Transport,2
2022-08-28,Coffe,7.6
2022-08-28,Coffe,7.6
2022-08-28,Coffe,15.2
2022-08-29,Restuarant,3
2022-08-29,Restuarant,14
2022-08-29,Restuarant,10
2022-08-29,Market,1.7
2022-08-30,Market,1.6
2022-08-30,Restuarant,17.6
2022-08-30,Market,13.71
2022-08-31,Market,16.35
2022-08-31,Restuarant,8
2022-08-31,Coffe,6.6
2022-08-31,Coffe,11.4
2022-08-31,Transport,5
2022-09-01,Restuarant,8.4
2022-09-01,Restuarant,30
2022-09-01,Transport,4
2022-09-01,Restuarant,12.5
2022-09-02,Transport,4
2022-09-02,Restuarant,5
2022-09-02,Coffe,7.6
2022-09-02,Restuarant,3.9
2022-09-03,Health,10
2022-09-03,Coffe,14.1
2022-09-03,Market,1.12
2022-09-03,Coffe,7.6
2022-09-03,Market,9.62
2022-09-04,Market,2.7
2022-09-04,Taxi,5.7
2022-09-04,Coffe,7.6
2022-09-04,Restuarant,24
2022-09-04,Market,6.83
2022-09-04,Communal,9
2022-09-04,Communal,150
2022-09-04,Market,12.5
2022-09-04,Communal,12.5
2022-09-05,Market,11.65
2022-09-05,Events,12.5
2022-09-05,Business lunch,4.5
2022-09-05,Market,7.19
2022-09-06,Market,6.5
2022-09-06,Events,200
2022-09-06,Restuarant,7
